entityId,Data_Release,Id,type,CDS_Release,IDC_Release,Component
syn24167690,Release 1.0,,file,,,OtherAssay
syn24167736,Release 1.0,,file,,,OtherAssay
syn24167784,Release 1.0,,file,,,OtherAssay
syn24167853,Release 1.0,,file,,,OtherAssay
syn24167944,Release 1.0,,file,,,OtherAssay
syn24991811,Release 1.0,,file,,,OtherAssay
syn24991900,Release 1.0,,file,,,OtherAssay
syn24167871,Release 1.0,,file,,,OtherAssay
syn24167953,Release 1.0,,file,,,OtherAssay
syn24991819,Release 1.0,,file,,,OtherAssay
syn24991905,Release 1.0,,file,,,OtherAssay
syn24167826,Release 1.0,,file,,,OtherAssay
syn24167912,Release 1.0,,file,,,OtherAssay
syn24991788,Release 1.0,,file,,,OtherAssay
syn24991864,Release 1.0,,file,,,OtherAssay
syn24167820,Release 1.0,,file,,,OtherAssay
syn24167911,Release 1.0,,file,,,OtherAssay
syn24991774,Release 1.0,,file,,,OtherAssay
syn24991850,Release 1.0,,file,,,OtherAssay
syn24167828,Release 1.0,,file,,,OtherAssay
syn24167908,Release 1.0,,file,,,OtherAssay
syn24991789,Release 1.0,,file,,,OtherAssay
syn24991861,Release 1.0,,file,,,OtherAssay
syn24167848,Release 1.0,,file,,,OtherAssay
syn24167925,Release 1.0,,file,,,OtherAssay
syn24991801,Release 1.0,,file,,,OtherAssay
syn24991874,Release 1.0,,file,,,OtherAssay
syn24167618,Release 1.0,,file,,,OtherAssay
syn24167667,Release 1.0,,file,,,OtherAssay
syn24167706,Release 1.0,,file,,,OtherAssay
syn24167752,Release 1.0,,file,,,OtherAssay
syn24167842,Release 1.0,,file,,,OtherAssay
syn24167923,Release 1.0,,file,,,OtherAssay
syn24991795,Release 1.0,,file,,,OtherAssay
syn24991871,Release 1.0,,file,,,OtherAssay
syn24167850,Release 1.0,,file,,,OtherAssay
syn24167930,Release 1.0,,file,,,OtherAssay
syn24991810,Release 1.0,,file,,,OtherAssay
syn24991880,Release 1.0,,file,,,OtherAssay
syn24167859,Release 1.0,,file,,,OtherAssay
syn24167937,Release 1.0,,file,,,OtherAssay
syn24991809,Release 1.0,,file,,,OtherAssay
syn24991908,Release 1.0,,file,,,OtherAssay
syn24167809,Release 1.0,,file,,,OtherAssay
syn24167890,Release 1.0,,file,,,OtherAssay
syn24991760,Release 1.0,,file,,,OtherAssay
syn24991836,Release 1.0,,file,,,OtherAssay
syn24167629,Release 1.0,,file,,,OtherAssay
syn24167666,Release 1.0,,file,,,OtherAssay
syn24167717,Release 1.0,,file,,,OtherAssay
syn24167769,Release 1.0,,file,,,OtherAssay
syn24167821,Release 1.0,,file,,,OtherAssay
syn24167901,Release 1.0,,file,,,OtherAssay
syn24991775,Release 1.0,,file,,,OtherAssay
syn24991856,Release 1.0,,file,,,OtherAssay
syn24167879,Release 1.0,,file,,,OtherAssay
syn24167959,Release 1.0,,file,,,OtherAssay
syn24991831,Release 1.0,,file,,,OtherAssay
syn24991910,Release 1.0,,file,,,OtherAssay
syn24167811,Release 1.0,,file,,,OtherAssay
syn24167886,Release 1.0,,file,,,OtherAssay
syn24991761,Release 1.0,,file,,,OtherAssay
syn24991844,Release 1.0,,file,,,OtherAssay
syn24167854,Release 1.0,,file,,,OtherAssay
syn24167931,Release 1.0,,file,,,OtherAssay
syn24991797,Release 1.0,,file,,,OtherAssay
syn24991883,Release 1.0,,file,,,OtherAssay
syn24167827,Release 1.0,,file,,,OtherAssay
syn24167900,Release 1.0,,file,,,OtherAssay
syn24991785,Release 1.0,,file,,,OtherAssay
syn24991866,Release 1.0,,file,,,OtherAssay
syn24167834,Release 1.0,,file,,,OtherAssay
syn24167920,Release 1.0,,file,,,OtherAssay
syn24991794,Release 1.0,,file,,,OtherAssay
syn24991870,Release 1.0,,file,,,OtherAssay
syn24167839,Release 1.0,,file,,,OtherAssay
syn24167916,Release 1.0,,file,,,OtherAssay
syn24991793,Release 1.0,,file,,,OtherAssay
syn24991868,Release 1.0,,file,,,OtherAssay
syn24167846,Release 1.0,,file,,,OtherAssay
syn24167924,Release 1.0,,file,,,OtherAssay
syn24991817,Release 1.0,,file,,,OtherAssay
syn24991878,Release 1.0,,file,,,OtherAssay
syn24167867,Release 1.0,,file,,,OtherAssay
syn24167956,Release 1.0,,file,,,OtherAssay
syn24991821,Release 1.0,,file,,,OtherAssay
syn24991895,Release 1.0,,file,,,OtherAssay
syn24167844,Release 1.0,,file,,,OtherAssay
syn24167922,Release 1.0,,file,,,OtherAssay
syn24991798,Release 1.0,,file,,,OtherAssay
syn24991882,Release 1.0,,file,,,OtherAssay
syn24167814,Release 1.0,,file,,,OtherAssay
syn24167893,Release 1.0,,file,,,OtherAssay
syn24991846,Release 1.0,,file,,,OtherAssay
syn25002930,Release 1.0,,file,,,OtherAssay
syn24167646,Release 1.0,,file,,,OtherAssay
syn24167697,Release 1.0,,file,,,OtherAssay
syn24167745,Release 1.0,,file,,,OtherAssay
syn24167787,Release 1.0,,file,,,OtherAssay
syn24167632,Release 1.0,,file,,,OtherAssay
syn24167673,Release 1.0,,file,,,OtherAssay
syn24167708,Release 1.0,,file,,,OtherAssay
syn24167775,Release 1.0,,file,,,OtherAssay
syn24167625,Release 1.0,,file,,,OtherAssay
syn24167696,Release 1.0,,file,,,OtherAssay
syn24167738,Release 1.0,,file,,,OtherAssay
syn24167779,Release 1.0,,file,,,OtherAssay
