HTAN_Data_File_ID,Imaging_Assay_Type
HTA1_136_1023011,H&E
HTA1_672_85093051,H&E
HTA1_672_85093011,H&E
HTA1_204_66013061,H&E
HTA1_204_66013011,H&E
HTA1_120_413011,H&E
HTA1_148_1413011,H&E
HTA1_148_1413051,H&E
HTA1_125_713051,H&E
HTA1_125_713011,H&E
HTA1_116_313051,H&E
HTA1_102_113011,H&E
HTA1_116_313011,H&E
HTA1_130_913011,H&E
HTA1_130_913051,H&E
HTA1_102_113051,H&E
HTA1_0000_330254,H&E
HTA1_783_408140301,H&E
HTA1_0000_313364,H&E
HTA1_225_456040301,H&E
HTA1_853_438140301,H&E
HTA1_0000_997514,H&E
HTA1_0000_67624080,H&E
HTA1_752_405140301,H&E
HTA1_0000_67614100,H&E
HTA1_0000_25812603,H&E
HTA1_0000_890870,H&E
HTA1_982_762940301,H&E
HTA1_0000_71797180,H&E
HTA1_917_453140301,H&E
HTA11_1391_20000010116110030010000009999,H&E
HTA11_1938_20000010116110030010000009999,H&E
HTA11_2112_20000010116110030010000009999,H&E
HTA11_2235_20000010116110030010000009999,H&E
HTA11_2487_20000010116110030010000009999,H&E
HTA11_2951_20000010116110030010000009999,H&E
HTA11_3077_20000010116110030010000009999,H&E
HTA11_3252_20000010116110030010000009999,H&E
HTA11_3331_20000010116110030010000009999,H&E
HTA11_3361_20000010116110030010000009999,H&E
HTA11_3410_20000010116110030010000009999,H&E
HTA11_347_20000010116110030010000009999,H&E
HTA11_377_20000010116110030010000009999,H&E
HTA11_392_30000110116110030010000009999,H&E
HTA11_411_20000010116110030010000009999,H&E
HTA11_4255_20000010116110030010000009999,H&E
HTA11_4781_20000010116110030010000009999,H&E
HTA11_4814_20000010116110030010000009999,H&E
HTA11_5212_20000010116110030010000009999,H&E
HTA11_5216_20000010116110030010000009999,H&E
HTA11_5363_20000010116110030010000009999,H&E
HTA11_546_20000010116110030010000009999,H&E
HTA11_5994_20000010116110030010000009999,H&E
HTA11_6025_20000010116110030010000009999,H&E
HTA11_6134_20000010116110030010000009999,H&E
HTA11_6147_20000010116110030010000009999,H&E
HTA11_6310_20000010116110030010000009999,H&E
HTA11_696_20000010116110030010000009999,H&E
HTA11_83_20000010116110030010000009999,H&E
HTA11_866_20000010116110030010000009999,H&E
HTA3_0001_1901119,H&E
HTA3_0001_1900482,H&E
HTA3_0001_1900589,H&E
HTA3_0001_1900898,H&E
HTA3_0001_1901120,H&E
HTA3_0001_1990001,H&E
HTA3_0001_1990004,H&E
HTA3_0001_1990002,H&E
HTA3_0001_1990003,H&E
HTA3_0001_1900903,H&E
HTA3_0001_1990005,H&E
HTA3_0001_1900587,H&E
HTA3_0001_1901117,H&E
HTA3_0001_1900586,H&E
HTA3_0001_1901116,H&E
HTA3_0001_1901315,H&E
HTA3_0001_1900585,H&E
HTA3_0001_1901314,H&E
HTA3_0001_1901115,H&E
HTA3_0001_1900480,H&E
HTA3_0001_1900481,H&E
HTA3_0001_1900588,H&E
HTA3_0001_1900900,H&E
HTA3_0001_1901118,H&E
HTA3_0002_1900441,H&E
HTA3_0002_1900442,H&E
HTA3_0003_1990065,H&E
HTA3_0003_1900694,H&E
HTA3_0003_1990064,H&E
HTA3_0003_1900693,H&E
HTA3_0003_1900947,H&E
HTA3_0004_1990067,H&E
HTA3_0004_1990068,H&E
HTA3_0004_1990006,H&E
HTA3_0004_1990007,H&E
HTA3_0004_1900606,H&E
HTA3_0004_1900604,H&E
HTA3_0004_1990008,H&E
HTA3_0004_1990009,H&E
HTA3_0004_1900605,H&E
HTA3_0005_1900325,H&E
HTA3_0005_1900727,H&E
HTA3_0006_1900776,H&E
HTA3_0006_1901279,H&E
HTA3_0006_1900447,H&E
HTA3_0007_1900455,H&E
HTA3_0007_1900456,H&E
HTA3_0007_1900528,H&E
HTA3_0007_1900453,H&E
HTA3_0007_1900526,H&E
HTA3_0007_1900527,H&E
HTA3_0008_1900840,H&E
HTA3_0008_1900841,H&E
HTA3_0008_1901196,H&E
HTA3_0008_1900837,H&E
HTA3_0008_1901191,H&E
HTA3_0008_1900418,H&E
HTA3_0008_1900838,H&E
HTA3_0008_1901194,H&E
HTA3_0009_1900557,H&E
HTA3_0009_1900844,H&E
HTA3_0009_1900991,H&E
HTA3_0009_1901207,H&E
HTA3_0009_1900558,H&E
HTA3_0009_1900845,H&E
HTA3_0009_1900992,H&E
HTA3_0009_1900846,H&E
HTA3_0009_1901209,H&E
HTA3_0009_1990010,H&E
HTA3_0010_1990011,H&E
HTA3_0010_1990012,H&E
HTA3_0010_1900505,H&E
HTA3_0010_1990013,H&E
HTA3_0010_1990014,H&E
HTA3_0010_1900503,H&E
HTA3_0010_1990061,H&E
HTA3_0010_1900700,H&E
HTA3_0010_1990062,H&E
HTA3_0010_1900504,H&E
HTA3_0010_1900701,H&E
HTA3_0011_1900341,H&E
HTA3_0011_1900433,H&E
HTA3_0011_1900567,H&E
HTA3_0011_1900340,H&E
HTA3_0011_1900432,H&E
HTA3_0011_1990015,H&E
HTA3_0012_1900736,H&E
HTA3_0012_1901253,H&E
HTA3_0014_1990020,H&E
HTA3_0014_1900748,H&E
HTA3_0014_1990017,H&E
HTA3_0014_1900394,H&E
HTA3_0014_1900747,H&E
HTA3_0014_1990018,H&E
HTA3_0014_1900393,H&E
HTA3_0014_1990023,H&E
HTA3_0014_1900745,H&E
HTA3_0014_1900744,H&E
HTA3_0014_1990021,H&E
HTA3_0015_1900402,H&E
HTA3_0015_1900571,H&E
HTA3_0015_1900932,H&E
HTA3_0015_1901327,H&E
HTA3_0015_1900570,H&E
HTA3_0015_1900864,H&E
HTA3_0016_1990024,H&E
HTA3_0016_1990025,H&E
HTA3_0016_1900509,H&E
HTA3_0016_1900647,H&E
HTA3_0017_1900473,H&E
HTA3_0017_1990030,H&E
HTA3_0017_1900732,H&E
HTA3_0017_1990028,H&E
HTA3_0017_1900850,H&E
HTA3_0017_1990029,H&E
HTA3_0017_1900472,H&E
HTA3_0017_1900731,H&E
HTA3_0017_1900849,H&E
HTA3_0018_1900496,H&E
HTA3_0018_1900651,H&E
HTA3_0018_1901146,H&E
HTA3_0018_1900494,H&E
HTA3_0018_1900650,H&E
HTA3_0018_1901145,H&E
HTA3_0020_1900370,H&E
HTA3_0020_1990031,H&E
HTA3_0020_1900784,H&E
HTA3_0020_1990032,H&E
HTA3_0020_1900367,H&E
HTA3_0020_1990033,H&E
HTA3_0020_1900783,H&E
HTA3_0020_1990034,H&E
HTA3_0021_1900723,H&E
HTA3_0021_1900943,H&E
HTA3_0021_1900319,H&E
HTA3_0021_1900942,H&E
HTA3_0021_1901091,H&E
HTA3_0021_1901310,H&E
HTA3_0021_1900465,H&E
HTA3_0021_1900724,H&E
HTA3_0021_1900944,H&E
HTA3_0021_1901092,H&E
HTA3_0021_1901311,H&E
HTA3_0021_1990035,H&E
HTA3_0021_1900581,H&E
HTA3_0021_1990037,H&E
HTA3_0021_1900720,H&E
HTA3_0021_1900940,H&E
HTA3_0021_1901089,H&E
HTA3_0021_1901307,H&E
HTA3_0021_1900721,H&E
HTA3_0021_1990038,H&E
HTA3_0021_1990039,H&E
HTA3_0021_1900582,H&E
HTA3_0021_1900722,H&E
HTA3_0021_1990040,H&E
HTA3_0021_1900941,H&E
HTA3_0021_1901308,H&E
HTA3_0022_1900468,H&E
HTA3_0022_1900876,H&E
HTA3_0022_1901169,H&E
HTA3_0022_1900469,H&E
HTA3_0022_1901170,H&E
HTA3_0022_1900878,H&E
HTA3_0022_1901171,H&E
HTA3_0023_1900830,H&E
HTA3_0023_1990041,H&E
HTA3_0023_1990047,H&E
HTA3_0023_1900827,H&E
HTA3_0023_1900829,H&E
HTA3_0023_1990043,H&E
HTA3_0023_1990042,H&E
HTA3_0023_1990044,H&E
HTA3_0023_1900828,H&E
HTA3_0023_1900826,H&E
HTA3_0023_1900824,H&E
HTA3_0023_1990048,H&E
HTA3_0023_1990045,H&E
HTA3_0023_1900825,H&E
HTA3_0024_1900520,H&E
HTA3_0024_1900780,H&E
HTA3_0025_1900600,H&E
HTA3_0025_1901106,H&E
HTA3_0025_1900384,H&E
HTA3_0025_1900541,H&E
HTA3_0025_1900601,H&E
HTA3_0025_1900807,H&E
HTA3_0025_1901108,H&E
HTA3_0025_1990049,H&E
HTA3_0025_1990050,H&E
HTA3_0025_1900383,H&E
HTA3_0025_1900540,H&E
HTA3_0025_1900599,H&E
HTA3_0025_1900805,H&E
HTA3_0025_1901105,H&E
HTA3_0025_1900806,H&E
HTA3_0025_1901107,H&E
HTA3_0026_1900337,H&E
HTA3_0026_1900859,H&E
HTA3_0027_1900639,H&E
HTA3_0028_1900757,H&E
HTA3_0028_1901264,H&E
HTA3_0028_1900491,H&E
HTA3_0028_1900758,H&E
HTA3_0028_1901265,H&E
HTA3_0029_1900625,H&E
HTA3_0029_1900814,H&E
HTA3_0029_1900379,H&E
HTA3_0029_1990051,H&E
HTA3_0029_1900815,H&E
HTA3_0029_1900380,H&E
HTA3_0029_1900816,H&E
HTA3_0029_1900378,H&E
HTA3_0029_1900623,H&E
HTA3_0029_1900812,H&E
HTA3_0029_1900376,H&E
HTA3_0029_1990052,H&E
HTA3_0029_1900810,H&E
HTA3_0029_1900377,H&E
HTA3_0029_1900622,H&E
HTA3_0029_1990054,H&E
HTA3_0029_1900624,H&E
HTA3_0029_1900813,H&E
HTA3_0030_1900358,H&E
HTA3_0031_1900664,H&E
HTA3_0031_1901062,H&E
HTA3_0031_1900537,H&E
HTA3_0031_1900666,H&E
HTA3_0031_1900856,H&E
HTA3_0031_1901063,H&E
HTA3_0031_1900665,H&E
HTA3_0031_1900855,H&E
HTA3_0031_1990057,H&E
HTA3_0031_1901061,H&E
HTA3_0031_1990055,H&E
HTA3_0031_1990056,H&E
HTA3_0031_1900854,H&E
HTA3_0031_1901060,H&E
HTA3_0032_1900544,H&E
HTA3_0033_1900974,H&E
HTA3_0033_1901248,H&E
HTA3_0033_1901371,H&E
HTA3_0033_1900977,H&E
HTA3_0033_1901249,H&E
HTA3_0033_1901246,H&E
HTA3_0033_1901245,H&E
HTA3_0033_1901370,H&E
HTA3_0033_1901369,H&E
HTA3_0034_1900918,H&E
HTA3_0035_1901034,H&E
HTA3_0035_1901259,H&E
HTA3_0035_1901035,H&E
HTA3_0035_1901260,H&E
HTA3_0035_1901039,H&E
HTA3_0035_1901037,H&E
HTA3_0035_1901257,H&E
HTA3_0035_1901036,H&E
HTA3_0035_1901256,H&E
HTA3_0035_1901038,H&E
HTA3_0035_1901258,H&E
HTA3_0036_1900298,H&E
HTA3_0036_1900913,H&E
HTA3_0036_1900914,H&E
HTA3_0036_1901405,H&E
HTA3_0036_1900297,H&E
HTA3_0036_1900911,H&E
HTA3_0036_1901404,H&E
HTA3_0037_1900344,H&E
HTA3_0037_1900751,H&E
HTA3_0038_1900770,H&E
HTA3_0038_1901075,H&E
HTA3_0038_1901390,H&E
HTA3_0038_1901076,H&E
HTA3_0038_1901391,H&E
HTA3_0038_1900771,H&E
HTA3_0038_1901077,H&E
HTA3_0038_1901392,H&E
HTA3_0039_1901003,H&E
HTA3_0039_1901002,H&E
HTA3_0039_1901220,H&E
HTA3_0039_1901004,H&E
HTA3_0039_1901222,H&E
HTA3_0039_1901005,H&E
HTA3_0039_1901224,H&E
HTA3_0040_1901100,H&E
HTA3_0040_1901284,H&E
HTA3_0040_1901098,H&E
HTA3_0040_1901283,H&E
HTA3_0041_1900796,H&E
HTA3_0041_1900922,H&E
HTA3_0041_1901183,H&E
HTA3_0041_1900795,H&E
HTA3_0041_1900919,H&E
HTA3_0041_1901182,H&E
HTA3_0042_1900906,H&E
HTA3_0042_1901028,H&E
HTA3_0042_1900907,H&E
HTA3_0042_1901029,H&E
HTA3_0043_1901043,H&E
HTA3_0043_1901350,H&E
HTA3_0043_1901349,H&E
HTA3_0044_1900967,H&E
HTA3_0044_1901132,H&E
HTA3_0044_1900968,H&E
HTA3_0044_1901133,H&E
HTA3_0044_1901397,H&E
HTA3_0044_1900293,H&E
HTA3_0044_1900965,H&E
HTA3_0044_1901130,H&E
HTA3_0044_1900966,H&E
HTA3_0044_1901131,H&E
HTA3_0044_1901396,H&E
HTA3_0045_1900893,H&E
HTA3_0045_1900894,H&E
HTA3_0045_1901241,H&E
HTA3_0045_1900891,H&E
HTA3_0045_1901238,H&E
HTA3_0046_1900766,H&E
HTA3_0046_1901292,H&E
HTA3_0046_1900953,H&E
HTA3_0046_1901293,H&E
HTA3_0046_1900765,H&E
HTA3_0046_1900952,H&E
HTA3_0047_1901021,H&E
HTA3_0047_1901216,H&E
HTA3_0047_1901411,H&E
HTA3_0047_1901022,H&E
HTA3_0048_1900965,H&E
HTA3_0048_1901275,H&E
HTA3_0048_1901273,H&E
HTA3_0048_1901381,H&E
HTA3_0048_1900882,H&E
HTA3_0048_1901380,H&E
HTA3_0049_1901187,H&E
HTA3_0050_1900998,H&E
HTA3_0050_1901235,H&E
HTA3_0050_1900997,H&E
HTA3_0051_1901162,H&E
HTA3_0051_1901334,H&E
HTA3_0052_1901018,H&E
HTA3_0052_1901301,H&E
HTA3_0052_1901017,H&E
HTA3_0052_1901302,H&E
HTA3_0052_1901015,H&E
HTA3_0052_1901014,H&E
HTA3_0052_1901299,H&E
HTA7_926_1013,H&E
HTA7_927_1014,H&E
HTA7_932_1014,H&E
HTA7_934_1014,H&E
HTA7_966_1011,H&E
HTA7_947_1014,H&E
HTA7_989_1014,H&E
HTA7_922_1014,H&E
HTA7_931_1014,H&E
HTA7_940_1014,H&E
HTA7_963_1013,H&E
HTA7_972_1014,H&E
HTA7_925_1014,H&E
HTA7_982_1014,H&E
HTA7_965_1012,H&E
HTA7_904_1005,H&E
HTA7_906_1005,H&E
HTA7_909_1004,H&E
HTA7_911_1005,H&E
HTA7_914_1003,H&E
HTA7_923_1003,H&E
HTA7_924_1004,H&E
HTA7_933_1005,H&E
HTA7_938_1004,H&E
HTA7_943_1005,H&E
HTA7_954_1005,H&E
HTA7_957_1005,H&E
HTA7_968_1005,H&E
HTA7_983_1004,H&E
HTA7_985_1003,H&E
HTA7_994_1005,H&E
HTA7_919_1005,H&E
HTA7_919_1007,H&E
HTA7_928_1005,H&E
HTA7_941_1005,H&E
HTA7_945_1005,H&E
HTA7_936_1004,H&E
HTA7_908_1005,H&E
HTA7_917_1004,H&E
HTA7_920_1014,H&E
HTA7_960_1005,H&E
HTA7_1_1694,H&E
HTA7_1_1695,H&E
HTA7_1_1696,H&E
HTA7_6_1003,H&E
HTA7_6_1004,H&E
HTA7_8_1003,H&E
HTA7_8_1004,H&E
HTA7_10_1003,H&E
HTA7_10_1004,H&E
HTA7_13_1003,H&E
HTA7_13_1004,H&E
HTA7_14_1003,H&E
HTA7_15_1003,H&E
HTA7_15_1004,H&E
HTA7_16_1003,H&E
HTA7_16_1004,H&E
HTA7_22_1003,H&E
HTA7_22_1004,H&E
HTA7_32_1003,H&E
HTA7_32_1004,H&E
HTA7_47_1003,H&E
HTA7_47_1004,H&E
HTA7_49_1003,H&E
HTA7_49_1004,H&E
HTA7_52_1006,H&E
HTA7_52_1007,H&E
HTA7_52_1008,H&E
HTA7_52_1009,H&E
HTA3_0042_11009062,H&E
HTA12_1_1101,H&E
HTA12_1_1105,H&E
HTA12_1_1106,H&E
HTA12_1_1112,H&E
HTA12_1_1113,H&E
HTA12_1_1114,H&E
HTA12_1_1115,H&E
HTA12_2_1101,H&E
HTA12_2_1105,H&E
HTA12_2_1111,H&E
HTA12_3_1101,H&E
HTA12_3_1105,H&E
HTA12_3_1109,H&E
HTA12_4_1101,H&E
HTA12_4_1106,H&E
HTA12_4_1110,H&E
HTA12_4_1114,H&E
HTA12_5_1101,H&E
HTA12_5_1102,H&E
HTA12_5_1103,H&E
HTA12_5_1104,H&E
HTA12_6_1101,H&E
HTA12_6_1102,H&E
HTA12_6_1103,H&E
HTA12_6_1104,H&E
HTA12_7_1101,H&E
HTA12_7_1102,H&E
HTA12_7_1103,H&E
HTA12_8_1101,H&E
HTA12_8_1102,H&E
HTA12_8_1103,H&E
HTA12_8_1104,H&E
HTA12_9_1101,H&E
HTA12_9_1105,H&E
HTA12_9_1108,H&E
HTA12_9_1111,H&E
HTA12_10_1101,H&E
HTA12_10_1104,H&E
HTA12_10_1107,H&E
HTA12_11_1101,H&E
HTA12_11_1104,H&E
HTA12_11_1107,H&E
HTA12_12_1101,H&E
HTA12_12_1102,H&E
HTA12_12_1103,H&E
HTA12_12_1104,H&E
HTA12_13_1101,H&E
HTA12_13_1102,H&E
HTA12_13_1103,H&E
HTA12_13_1104,H&E
HTA12_14_1101,H&E
HTA12_14_1102,H&E
HTA12_14_1103,H&E
HTA12_15_1101,H&E
HTA12_15_1104,H&E
HTA12_15_1108,H&E
HTA12_16_1101,H&E
HTA12_16_1104,H&E
HTA12_16_1105,H&E
HTA12_17_1101,H&E
HTA12_17_1102,H&E
HTA12_17_1103,H&E
HTA12_18_1102,H&E
HTA12_18_1101,H&E
HTA12_19_1101,H&E
HTA12_19_1102,H&E
HTA12_19_1103,H&E
HTA12_20_1101,H&E
HTA12_20_1102,H&E
HTA12_21_1101,H&E
HTA12_21_1102,H&E
HTA12_21_1103,H&E
HTA6_1000_5,H&E
HTA6_2333_2,H&E
HTA6_1001_4,H&E
HTA6_2340_2,H&E
HTA6_2123_2,H&E
HTA6_1019_264,H&E
HTA6_2100_3,H&E
HTA6_1020_4,H&E
HTA6_1021_264,H&E
HTA6_2100_4,H&E
HTA6_2084_3,H&E
HTA6_1022_264,H&E
HTA6_2095_2,H&E
HTA6_2122_2,H&E
HTA6_2085_3,H&E
HTA6_2101_3,H&E
HTA6_1023_4,H&E
HTA6_2103_3,H&E
HTA6_1129_5,H&E
HTA6_2106_3,H&E
HTA6_2108_2,H&E
HTA6_2089_3,H&E
HTA6_1113_5,H&E
HTA6_1002_264,H&E
HTA6_2262_2,H&E
HTA6_1003_4,H&E
HTA6_1004_4,H&E
HTA6_1005_4,H&E
HTA6_2087_2,H&E
HTA6_2405_2,H&E
HTA6_1006_4,H&E
HTA6_1007_4,H&E
HTA6_2082_3,H&E
HTA6_2121_2,H&E
HTA6_2124_2,H&E
HTA6_2107_3,H&E
HTA6_1008_4,H&E
HTA6_2103_4,H&E
HTA6_2107_4,H&E
HTA6_2277_2,H&E
HTA6_1000_6,H&E
HTA6_2093_2,H&E
HTA6_2184_2,H&E
HTA6_1104_5,H&E
HTA6_1009_5,H&E
HTA6_1121_5,H&E
HTA6_1010_5,H&E
HTA6_2086_3,H&E
HTA6_1011_4,H&E
HTA6_1012_4,H&E
HTA6_1013_4,H&E
HTA6_2182_2,H&E
HTA6_2226_2,H&E
HTA6_1024_4,H&E
HTA6_2191_2,H&E
HTA6_2098_2,H&E
HTA6_1014_4,H&E
HTA6_1015_4,H&E
HTA6_1016_264,H&E
HTA6_2117_2,H&E
HTA6_2125_2,H&E
HTA6_2327_2,H&E
HTA6_2115_2,H&E
HTA6_2126_2,H&E
HTA6_2159_2,H&E
HTA6_2187_2,H&E
HTA6_2290_2,H&E
HTA6_2079_2,H&E
HTA6_2140_2,H&E
HTA6_1017_4,H&E
HTA6_2101_4,H&E
HTA6_2004_265,H&E
HTA6_1018_4,H&E
HTA6_2136_2,H&E
HTA6_2266_2,H&E
HTA6_2119_2,H&E
HTA6_2104_3,H&E
HTA6_2292_2,H&E
HTA6_1025_264,H&E
HTA6_2346_2,H&E
HTA6_1045_4,H&E
HTA6_1118_320,H&E
HTA6_1046_5,H&E
HTA6_2353_2,H&E
HTA6_1047_264,H&E
HTA6_1046_6,H&E
HTA6_1123_5,H&E
HTA6_1055_7,H&E
HTA6_2102_2,H&E
HTA6_1048_265,H&E
HTA6_1049_320,H&E
HTA6_2026_265,H&E
HTA6_1050_6,H&E
HTA6_2105_3,H&E
HTA6_2111_3,H&E
HTA6_2023_265,H&E
HTA6_1055_8,H&E
HTA6_1058_4,H&E
HTA6_1051_5,H&E
HTA6_2112_3,H&E
HTA6_1026_264,H&E
HTA6_1027_4,H&E
HTA6_1028_4,H&E
HTA6_2078_264,H&E
HTA6_1056_4,H&E
HTA6_2259_2,H&E
HTA6_2314_2,H&E
HTA6_2029_264,H&E
HTA6_2350_2,H&E
HTA6_2020_320,H&E
HTA6_2293_2,H&E
HTA6_2114_2,H&E
HTA6_1029_6,H&E
HTA6_1030_7,H&E
HTA6_2145_2,H&E
HTA6_2105_4,H&E
HTA6_1030_8,H&E
HTA6_1031_4,H&E
HTA6_2104_4,H&E
HTA6_2129_2,H&E
HTA6_2349_2,H&E
HTA6_1032_320,H&E
HTA6_2014_265,H&E
HTA6_1033_264,H&E
HTA6_1034_320,H&E
HTA6_2088_2,H&E
HTA6_1035_4,H&E
HTA6_1036_4,H&E
HTA6_2351_2,H&E
HTA6_1052_6,H&E
HTA6_1057_264,H&E
HTA6_1053_264,H&E
HTA6_2338_2,H&E
HTA6_1116_5,H&E
HTA6_1037_4,H&E
HTA6_1038_264,H&E
HTA6_1108_5,H&E
HTA6_2294_2,H&E
HTA6_1039_264,H&E
HTA6_2118_2,H&E
HTA6_1040_4,H&E
HTA6_2281_2,H&E
HTA6_2348_2,H&E
HTA6_1041_264,H&E
HTA6_2291_2,H&E
HTA6_1042_264,H&E
HTA6_2130_2,H&E
HTA6_1043_4,H&E
HTA6_2026_266,H&E
HTA6_1054_320,H&E
HTA6_2128_2,H&E
HTA6_2113_2,H&E
