HTAN_Data_File_ID,Imaging_Assay_Type
HTA10_01_002011001,CODEX
HTA10_01_007011001,CODEX
HTA10_01_023011001,CODEX
HTA10_01_119011001,CODEX
HTA10_01_124011001,CODEX
HTA10_02_024011001,CODEX
HTA10_02_203011001,CODEX
HTA10_02_205011001,CODEX
HTA10_03_002011001,CODEX
HTA10_04_005011001,CODEX
HTA10_04_202011001,CODEX
HTA10_07_101011001,CODEX
HTA10_07_301011001,CODEX
HTA10_07_401011001,CODEX
HTA10_11_112011001,CODEX
HTA10_05_072011001,CODEX
HTA6_1135_273,MIBI
HTA6_1135_274,MIBI
HTA6_1135_275,MIBI
HTA6_1135_276,MIBI
HTA6_1135_278,MIBI
HTA6_1135_279,MIBI
HTA6_1135_280,MIBI
HTA6_1135_281,MIBI
HTA6_1135_282,MIBI
HTA6_1135_283,MIBI
HTA6_1135_284,MIBI
HTA6_1135_285,MIBI
HTA6_1135_286,MIBI
HTA6_1135_287,MIBI
HTA6_1135_288,MIBI
HTA6_1135_289,MIBI
HTA6_1135_290,MIBI
HTA6_1135_291,MIBI
HTA6_1135_292,MIBI
HTA6_1135_277,MIBI
HTA6_1135_293,MIBI
HTA6_1135_294,MIBI
HTA6_1135_295,MIBI
HTA6_1135_296,MIBI
HTA6_1135_297,MIBI
HTA6_1135_298,MIBI
HTA6_1135_299,MIBI
HTA6_1135_300,MIBI
HTA6_1135_301,MIBI
HTA6_1135_302,MIBI
HTA6_1135_303,MIBI
HTA6_1135_304,MIBI
HTA6_1135_305,MIBI
HTA6_1135_306,MIBI
HTA6_1135_307,MIBI
HTA6_1135_308,MIBI
HTA6_1135_310,MIBI
HTA6_1135_311,MIBI
HTA6_1135_309,MIBI
HTA6_1135_313,MIBI
HTA6_1135_314,MIBI
HTA6_1135_315,MIBI
HTA6_1135_312,MIBI
HTA6_1133_269,MIBI
HTA6_1133_270,MIBI
HTA6_1133_271,MIBI
HTA6_1133_272,MIBI
HTA6_1133_274,MIBI
HTA6_1133_275,MIBI
HTA6_1133_276,MIBI
HTA6_1133_277,MIBI
HTA6_1133_278,MIBI
HTA6_1133_279,MIBI
HTA6_1133_280,MIBI
HTA6_1133_281,MIBI
HTA6_1133_282,MIBI
HTA6_1133_283,MIBI
HTA6_1133_284,MIBI
HTA6_1133_285,MIBI
HTA6_1133_286,MIBI
HTA6_1133_287,MIBI
HTA6_1133_288,MIBI
HTA6_1133_273,MIBI
HTA6_1133_289,MIBI
HTA6_1133_290,MIBI
HTA6_1133_291,MIBI
HTA6_1133_292,MIBI
HTA6_1133_294,MIBI
HTA6_1133_295,MIBI
HTA6_1133_296,MIBI
HTA6_1133_297,MIBI
HTA6_1133_298,MIBI
HTA6_1133_299,MIBI
HTA6_1133_300,MIBI
HTA6_1133_302,MIBI
HTA6_1133_303,MIBI
HTA6_1133_304,MIBI
HTA6_1133_307,MIBI
HTA6_1133_305,MIBI
HTA6_1133_309,MIBI
HTA6_1133_310,MIBI
HTA6_1133_311,MIBI
HTA6_1133_308,MIBI
HTA6_2038_267,MIBI
HTA6_2038_268,MIBI
HTA6_2038_269,MIBI
HTA6_2038_270,MIBI
HTA6_2038_272,MIBI
HTA6_2038_273,MIBI
HTA6_2038_275,MIBI
HTA6_2038_276,MIBI
HTA6_2038_277,MIBI
HTA6_2038_278,MIBI
HTA6_2038_279,MIBI
HTA6_2038_280,MIBI
HTA6_2038_281,MIBI
HTA6_2038_282,MIBI
HTA6_2038_283,MIBI
HTA6_2038_284,MIBI
HTA6_2038_285,MIBI
HTA6_2038_286,MIBI
HTA6_2038_271,MIBI
HTA6_2038_287,MIBI
HTA6_2038_288,MIBI
HTA6_2038_289,MIBI
HTA6_2038_290,MIBI
HTA6_2038_291,MIBI
HTA6_2038_292,MIBI
HTA6_2038_293,MIBI
HTA6_2038_294,MIBI
HTA6_2038_295,MIBI
HTA6_2038_296,MIBI
HTA6_2038_297,MIBI
HTA6_2038_298,MIBI
HTA6_2038_300,MIBI
HTA6_2038_301,MIBI
HTA6_2038_302,MIBI
HTA6_2038_305,MIBI
HTA6_2038_303,MIBI
HTA6_2038_307,MIBI
HTA6_2038_308,MIBI
HTA6_2038_309,MIBI
HTA6_2038_306,MIBI
HTA6_1029_12,MIBI
HTA6_1029_13,MIBI
HTA6_1029_14,MIBI
HTA6_1029_15,MIBI
HTA6_1029_16,MIBI
HTA6_1029_17,MIBI
HTA6_1029_19,MIBI
HTA6_1029_20,MIBI
HTA6_1029_21,MIBI
HTA6_1029_22,MIBI
HTA6_1029_23,MIBI
HTA6_1029_24,MIBI
